id;replicate;temperature;salinity;treatment;species;date;day;cells_per_ml;biovol_per_ml;counts;grid_count;magnification;grid area;biovolume
33;1;22;15;monoculture;heterocapsa;03.01.21;0;31694,40;3617915,76;372,00;6,00;20,00;0,25;114,15
34;2;22;15;monoculture;heterocapsa;03.01.21;0;24026,40;2742613,56;282,00;6,00;20,00;0,25;114,15
35;3;22;15;monoculture;heterocapsa;03.01.21;0;26326,80;3005204,22;309,00;6,00;20,00;0,25;114,15
36;4;22;15;monoculture;heterocapsa;03.01.21;0;28712,40;3277520,46;337,00;6,00;20,00;0,25;114,15
37;1;22;30;monoculture;heterocapsa;03.01.21;0;25986,00;2966301,90;305,00;6,00;20,00;0,25;114,15
38;2;22;30;monoculture;heterocapsa;03.01.21;0;29138,40;3326148,36;342,00;6,00;20,00;0,25;114,15
39;3;22;30;monoculture;heterocapsa;03.01.21;0;27264,00;3112185,60;320,00;6,00;20,00;0,25;114,15
40;4;22;30;monoculture;heterocapsa;03.01.21;0;28030,80;3199715,82;329,00;6,00;20,00;0,25;114,15
41;1;22;15;competition;heterosigma;03.01.21;0;4174,80;2032459,63;49,00;6,00;20,00;0,25;486,84
41;1;22;15;competition;heterocapsa;03.01.21;0;25900,80;2956576,32;304,00;6,00;20,00;0,25;114,15
42;2;22;15;competition;heterosigma;03.01.21;0;5538,00;2696119,92;65,00;6,00;20,00;0,25;486,84
42;2;22;15;competition;heterocapsa;03.01.21;0;22237,20;2538376,38;261,00;6,00;20,00;0,25;114,15
43;3;22;15;competition;heterosigma;03.01.21;0;4856,40;2364289,78;57,00;6,00;20,00;0,25;486,84
43;3;22;15;competition;heterocapsa;03.01.21;0;20959,20;2392492,68;246,00;6,00;20,00;0,25;114,15
44;4;22;15;competition;heterosigma;03.01.21;0;4941,60;2405768,54;58,00;6,00;20,00;0,25;486,84
44;4;22;15;competition;heterocapsa;03.01.21;0;25474,80;2907948,42;299,00;6,00;20,00;0,25;114,15
45;1;22;30;competition;heterosigma;03.01.21;0;5367,60;2613162,38;63,00;6,00;20,00;0,25;486,84
45;1;22;30;competition;heterocapsa;03.01.21;0;22237,20;2538376,38;261,00;6,00;20,00;0,25;114,15
46;2;22;30;competition;heterosigma;03.01.21;0;3578,40;1742108,26;42,00;6,00;20,00;0,25;486,84
46;2;22;30;competition;heterocapsa;03.01.21;0;23600,40;2693985,66;277,00;6,00;20,00;0,25;114,15
47;3;22;30;competition;heterosigma;03.01.21;0;4174,80;2032459,63;49,00;6,00;20,00;0,25;486,84
47;3;22;30;competition;heterocapsa;03.01.21;0;23770,80;2713436,82;279,00;6,00;20,00;0,25;114,15
48;4;22;30;competition;heterosigma;03.01.21;0;5367,60;2613162,38;63,00;6,00;20,00;0,25;486,84
48;4;22;30;competition;heterocapsa;03.01.21;0;21811,20;2489748,48;256,00;6,00;20,00;0,25;114,15
1;1;15;15;monoculture;heterosigma;05.01.21;2;11757,60;5724069,98;552;6,00;10,00;1,00;486,84
2;2;15;15;monoculture;heterosigma;05.01.21;2;10969,50;5340391,38;515;6,00;10,00;1,00;486,84
3;3;15;15;monoculture;heterosigma;05.01.21;2;9585,00;4666361,40;450;6,00;10,00;1,00;486,84
4;4;15;15;monoculture;heterosigma;05.01.21;2;10011,00;4873755,24;470;6,00;10,00;1,00;486,84
5;1;15;30;monoculture;heterosigma;05.01.21;2;7902,30;3847155,73;371;6,00;10,00;1,00;486,84
6;2;15;30;monoculture;heterosigma;05.01.21;2;7007,70;3411628,67;329;6,00;10,00;1,00;486,84
7;3;15;30;monoculture;heterosigma;05.01.21;2;7582,80;3691610,35;356;6,00;10,00;1,00;486,84
8;4;15;30;monoculture;heterosigma;05.01.21;2;8094,00;3940482,96;380;6,00;10,00;1,00;486,84
9;1;15;15;monoculture;heterocapsa;05.01.21;2;48052,80;5485227,12;564;6,00;20,00;0,25;114,15
10;2;15;15;monoculture;heterocapsa;05.01.21;2;56146,80;6409157,22;659;6,00;20,00;0,25;114,15
11;3;15;15;monoculture;heterocapsa;05.01.21;2;44815,20;5115655,08;526;6,00;20,00;0,25;114,15
12;4;15;15;monoculture;heterocapsa;05.01.21;2;45667,20;5212910,88;536;6,00;20,00;0,25;114,15
13;1;15;30;monoculture;heterocapsa;05.01.21;2;47712,00;5446324,80;560;6,00;20,00;0,25;114,15
14;2;15;30;monoculture;heterocapsa;05.01.21;2;49586,40;5660287,56;582;6,00;20,00;0,25;114,15
15;3;15;30;monoculture;heterocapsa;05.01.21;2;49671,60;5670013,14;583;6,00;20,00;0,25;114,15
16;4;15;30;monoculture;heterocapsa;05.01.21;2;49160,40;5611659,66;577;6,00;20,00;0,25;114,15
17;1;15;15;competition;heterosigma;05.01.21;2;7668,00;3733089,12;90,00;6,00;20,00;0,25;486,84
17;1;15;15;competition;heterocapsa;05.01.21;2;44815,20;5115655,08;526,00;6,00;20,00;0,25;114,15
18;2;15;15;competition;heterosigma;05.01.21;2;9116,40;4438228,18;107,00;6,00;20,00;0,25;486,84
18;2;15;15;competition;heterocapsa;05.01.21;2;36210,00;4133371,50;425,00;6,00;20,00;0,25;114,15
19;3;15;15;competition;heterosigma;05.01.21;2;8520,00;4147876,80;100,00;6,00;20,00;0,25;486,84
19;3;15;15;competition;heterocapsa;05.01.21;2;34335,60;3919408,74;403,00;6,00;20,00;0,25;114,15
20;4;15;15;competition;heterosigma;05.01.21;2;6560,40;3193865,14;77,00;6,00;20,00;0,25;486,84
20;4;15;15;competition;heterocapsa;05.01.21;2;31694,40;3617915,76;372,00;6,00;20,00;0,25;114,15
21;1;15;30;competition;heterosigma;05.01.21;2;8008,80;3899004,19;94,00;6,00;20,00;0,25;486,84
21;1;15;30;competition;heterocapsa;05.01.21;2;44815,20;5115655,08;526,00;6,00;20,00;0,25;114,15
22;2;15;30;competition;heterosigma;05.01.21;2;6901,20;3359780,21;81,00;6,00;20,00;0,25;486,84
22;2;15;30;competition;heterocapsa;05.01.21;2;55465,20;6331352,58;651,00;6,00;20,00;0,25;114,15
23;3;15;30;competition;heterosigma;05.01.21;2;6645,60;3235343,90;78,00;6,00;20,00;0,25;486,84
23;3;15;30;competition;heterocapsa;05.01.21;2;57084,00;6516138,60;670,00;6,00;20,00;0,25;114,15
24;4;15;30;competition;heterosigma;05.01.21;2;9798,00;4770058,32;115,00;6,00;20,00;0,25;486,84
24;4;15;30;competition;heterocapsa;05.01.21;2;56828,40;6486961,86;667,00;6,00;20,00;0,25;114,15
25;1;22;15;monoculture;heterosigma;05.01.21;2;12929,10;6294403,04;607;6,00;10,00;1,00;486,84
26;2;22;15;monoculture;heterosigma;05.01.21;2;13845,00;6740299,80;650;6,00;10,00;1,00;486,84
27;3;22;15;monoculture;heterosigma;05.01.21;2;12843,90;6252924,28;603;6,00;10,00;1,00;486,84
28;4;22;15;monoculture;heterosigma;05.01.21;2;14143,20;6885475,49;664;6,00;10,00;1,00;486,84
29;1;22;30;monoculture;heterosigma;05.01.21;2;10160,10;4946343,08;477,00;6,00;10,00;1,00;486,84
30;2;22;30;monoculture;heterosigma;05.01.21;2;9222,90;4490076,64;433,00;6,00;10,00;1,00;486,84
31;3;22;30;monoculture;heterosigma;05.01.21;2;10096,20;4915234,01;474,00;6,00;10,00;1,00;486,84
32;4;22;30;monoculture;heterosigma;05.01.21;2;9904,50;4821906,78;465,00;6,00;10,00;1,00;486,84
33;1;22;15;monoculture;heterocapsa;05.01.21;2;57084,00;6516138,60;670,00;6,00;20,00;0,25;114,15
34;2;22;15;monoculture;heterocapsa;05.01.21;2;59640,00;6807906,00;700,00;6,00;20,00;0,25;114,15
35;3;22;15;monoculture;heterocapsa;05.01.21;2;57254,40;6535589,76;672,00;6,00;20,00;0,25;114,15
36;4;22;15;monoculture;heterocapsa;05.01.21;2;56487,60;6448059,54;663,00;6,00;20,00;0,25;114,15
37;1;22;30;monoculture;heterocapsa;05.01.21;2;53079,60;6059036,34;623,00;6,00;20,00;0,25;114,15
38;2;22;30;monoculture;heterocapsa;05.01.21;2;48734,40;5563031,76;572,00;6,00;20,00;0,25;114,15
39;3;22;30;monoculture;heterocapsa;05.01.21;2;50779,20;5796445,68;596,00;6,00;20,00;0,25;114,15
40;4;22;30;monoculture;heterocapsa;05.01.21;2;53931,60;6156292,14;633,00;6,00;20,00;0,25;114,15
41;1;22;15;competition;heterosigma;05.01.21;2;13291,20;6470687,81;156,00;6,00;20,00;0,25;486,84
41;1;22;15;competition;heterocapsa;05.01.21;2;38425,20;4386236,58;451,00;6,00;20,00;0,25;114,15
42;2;22;15;competition;heterosigma;05.01.21;2;12098,40;5889985,06;142,00;6,00;20,00;0,25;486,84
42;2;22;15;competition;heterocapsa;05.01.21;2;26838,00;3063557,70;315,00;6,00;20,00;0,25;114,15
43;3;22;15;competition;heterosigma;05.01.21;2;13206,00;6429209,04;155,00;6,00;20,00;0,25;486,84
43;3;22;15;competition;heterocapsa;05.01.21;2;38510,40;4395962,16;452,00;6,00;20,00;0,25;114,15
44;4;22;15;competition;heterosigma;05.01.21;2;12780,00;6221815,20;150,00;6,00;20,00;0,25;486,84
44;4;22;15;competition;heterocapsa;05.01.21;2;32120,40;3666543,66;377,00;6,00;20,00;0,25;114,15
45;1;22;30;competition;heterosigma;05.01.21;2;9286,80;4521185,71;109,00;6,00;20,00;0,25;486,84
45;1;22;30;competition;heterocapsa;05.01.21;2;42770,40;4882241,16;502,00;6,00;20,00;0,25;114,15
46;2;22;30;competition;heterosigma;05.01.21;2;14058,00;6843996,72;165,00;6,00;20,00;0,25;486,84
46;2;22;30;competition;heterocapsa;05.01.21;2;55209,60;6302175,84;648,00;6,00;20,00;0,25;114,15
47;3;22;30;competition;heterosigma;05.01.21;2;13120,80;6387730,27;154,00;6,00;20,00;0,25;486,84
47;3;22;30;competition;heterocapsa;05.01.21;2;60832,80;6944064,12;714,00;6,00;20,00;0,25;114,15
48;4;22;30;competition;heterosigma;05.01.21;2;10479,60;5101888,46;123,00;6,00;20,00;0,25;486,84
48;4;22;30;competition;heterocapsa;05.01.21;2;60151,20;6866259,48;706,00;6,00;20,00;0,25;114,15
1;1;15;15;monoculture;heterosigma;07.01.21;4;16720,50;8140208,22;785,00;6,00;10,00;1,00;486,84
2;2;15;15;monoculture;heterosigma;07.01.21;4;17828,10;8679432,20;837,00;6,00;10,00;1,00;486,84
3;3;15;15;monoculture;heterosigma;07.01.21;4;18701,40;9104589,58;878,00;6,00;10,00;1,00;486,84
4;4;15;15;monoculture;heterosigma;07.01.21;4;19127,40;9311983,42;898,00;6,00;10,00;1,00;486,84
5;1;15;30;monoculture;heterosigma;07.01.21;4;14718,30;7165457,17;691,00;6,00;10,00;1,00;486,84
6;2;15;30;monoculture;heterosigma;07.01.21;4;14718,30;7165457,17;691,00;6,00;10,00;1,00;486,84
7;3;15;30;monoculture;heterosigma;07.01.21;4;15463,80;7528396,39;726,00;6,00;10,00;1,00;486,84
8;4;15;30;monoculture;heterosigma;07.01.21;4;15272,10;7435069,16;717,00;6,00;10,00;1,00;486,84
9;1;15;15;monoculture;heterocapsa;07.01.21;4;141602,40;16163913,96;1662,00;6,00;20,00;0,25;114,15
10;2;15;15;monoculture;heterocapsa;07.01.21;4;171763,20;19606769,28;504,00;6,00;40,00;0,06;114,15
11;3;15;15;monoculture;heterocapsa;07.01.21;4;142795,20;16300072,08;419,00;6,00;40,00;0,06;114,15
12;4;15;15;monoculture;heterocapsa;07.01.21;4;176193,60;20112499,44;517,00;6,00;40,00;0,06;114,15
13;1;15;30;monoculture;heterocapsa;07.01.21;4;168014,40;19178843,76;493,00;6,00;40,00;0,06;114,15
14;2;15;30;monoculture;heterocapsa;07.01.21;4;183691,20;20968350,48;539,00;6,00;40,00;0,06;114,15
15;3;15;30;monoculture;heterocapsa;07.01.21;4;169377,60;19334453,04;497,00;6,00;40,00;0,06;114,15
16;4;15;30;monoculture;heterocapsa;07.01.21;4;187780,80;21435178,32;551,00;6,00;40,00;0,06;114,15
17;1;15;15;competition;heterosigma;07.01.21;4;21470,40;10452649,54;63,00;6,00;40,00;0,06;486,84
17;1;15;15;competition;heterocapsa;07.01.21;4;144499,20;16494583,68;424,00;6,00;40,00;0,06;114,15
18;2;15;15;competition;heterosigma;07.01.21;4;20448,00;9954904,32;60,00;6,00;40,00;0,06;486,84
18;2;15;15;competition;heterocapsa;07.01.21;4;155404,80;17739457,92;456,00;6,00;40,00;0,06;114,15
19;3;15;15;competition;heterosigma;07.01.21;4;17380,80;8461668,67;51,00;6,00;40,00;0,06;486,84
19;3;15;15;competition;heterocapsa;07.01.21;4;119620,80;13654714,32;351,00;6,00;40,00;0,06;114,15
20;4;15;15;competition;heterosigma;07.01.21;4;20448,00;9954904,32;60,00;6,00;40,00;0,06;486,84
20;4;15;15;competition;heterocapsa;07.01.21;4;129504,00;14782881,60;380,00;6,00;40,00;0,06;114,15
21;1;15;30;competition;heterosigma;07.01.21;4;16699,20;8129838,53;49,00;6,00;40,00;0,06;486,84
21;1;15;30;competition;heterocapsa;07.01.21;4;182668,80;20851643,52;536,00;6,00;40,00;0,06;114,15
22;2;15;30;competition;heterosigma;07.01.21;4;17721,60;8627583,74;52,00;6,00;40,00;0,06;486,84
22;2;15;30;competition;heterocapsa;07.01.21;4;172104,00;19645671,60;505,00;6,00;40,00;0,06;114,15
23;3;15;30;competition;heterosigma;07.01.21;4;18062,40;8793498,82;53,00;6,00;40,00;0,06;486,84
23;3;15;30;competition;heterocapsa;07.01.21;4;187780,80;21435178,32;551,00;6,00;40,00;0,06;114,15
24;4;15;30;competition;heterosigma;07.01.21;4;16017,60;7798008,38;47,00;6,00;40,00;0,06;486,84
24;4;15;30;competition;heterocapsa;07.01.21;4;270936,00;30927344,40;795,00;6,00;40,00;0,06;114,15
25;1;22;15;monoculture;heterosigma;07.01.21;4;37402,80;18209179,15;439,00;6,00;20,00;0,25;486,84
26;2;22;15;monoculture;heterosigma;07.01.21;4;35017,20;17047773,65;411,00;6,00;20,00;0,25;486,84
27;3;22;15;monoculture;heterosigma;07.01.21;4;26497,20;12899896,85;311,00;6,00;20,00;0,25;486,84
28;4;22;15;monoculture;heterosigma;07.01.21;4;36210,00;17628476,40;425,00;6,00;20,00;0,25;486,84
29;1;22;30;monoculture;heterosigma;07.01.21;4;24452,40;11904406,42;287,00;6,00;20,00;0,25;486,84
30;2;22;30;monoculture;heterosigma;07.01.21;4;33824,40;16467070,90;397,00;6,00;20,00;0,25;486,84
31;3;22;30;monoculture;heterosigma;07.01.21;4;33909,60;16508549,66;398,00;6,00;20,00;0,25;486,84
32;4;22;30;monoculture;heterosigma;07.01.21;4;34250,40;16674464,74;402,00;6,00;20,00;0,25;486,84
33;1;22;15;monoculture;heterocapsa;07.01.21;4;132571,20;15133002,48;389,00;6,00;40,00;0,06;114,15
34;2;22;15;monoculture;heterocapsa;07.01.21;4;126777,60;14471663,04;1488,00;6,00;20,00;0,25;114,15
35;3;22;15;monoculture;heterocapsa;07.01.21;4;138024,00;15755439,60;405,00;6,00;40,00;0,06;114,15
36;4;22;15;monoculture;heterocapsa;07.01.21;4;127459,20;14549467,68;374,00;6,00;40,00;0,06;114,15
37;1;22;30;monoculture;heterocapsa;07.01.21;4;155404,80;17739457,92;456,00;6,00;40,00;0,06;114,15
38;2;22;30;monoculture;heterocapsa;07.01.21;4;140750,40;16066658,16;413,00;6,00;40,00;0,06;114,15
39;3;22;30;monoculture;heterocapsa;07.01.21;4;146203,20;16689095,28;429,00;6,00;40,00;0,06;114,15
40;4;22;30;monoculture;heterocapsa;07.01.21;4;170400,00;19451160,00;500,00;6,00;40,00;0,06;114,15
41;1;22;15;competition;heterosigma;07.01.21;4;26241,60;12775460,54;77,00;6,00;40,00;0,06;486,84
41;1;22;15;competition;heterocapsa;07.01.21;4;71908,80;8208389,52;211,00;6,00;40,00;0,06;114,15
42;2;22;15;competition;heterosigma;07.01.21;4;26241,60;12775460,54;77,00;6,00;40,00;0,06;486,84
42;2;22;15;competition;heterocapsa;07.01.21;4;71908,80;8208389,52;211,00;6,00;40,00;0,06;114,15
43;3;22;15;competition;heterosigma;07.01.21;4;27264,00;13273205,76;80,00;6,00;40,00;0,06;486,84
43;3;22;15;competition;heterocapsa;07.01.21;4;100876,80;11515086,72;296,00;6,00;40,00;0,06;114,15
44;4;22;15;competition;heterosigma;07.01.21;4;30331,20;14766441,41;89,00;6,00;40,00;0,06;486,84
44;4;22;15;competition;heterocapsa;07.01.21;4;79065,60;9025338,24;232,00;6,00;40,00;0,06;114,15
45;1;22;30;competition;heterosigma;07.01.21;4;20448,00;9954904,32;60,00;6,00;40,00;0,06;486,84
45;1;22;30;competition;heterocapsa;07.01.21;4;162220,80;18517504,32;476,00;6,00;40,00;0,06;114,15
46;2;22;30;competition;heterosigma;07.01.21;4;20448,00;9954904,32;60,00;6,00;40,00;0,06;486,84
46;2;22;30;competition;heterocapsa;07.01.21;4;162220,80;18517504,32;476,00;6,00;40,00;0,06;114,15
47;3;22;30;competition;heterosigma;07.01.21;4;19425,60;9457159,10;57,00;6,00;40,00;0,06;486,84
47;3;22;30;competition;heterocapsa;07.01.21;4;202094,40;23069075,76;593,00;6,00;40,00;0,06;114,15
48;4;22;30;competition;heterosigma;07.01.21;4;22833,60;11116309,82;67,00;6,00;40,00;0,06;486,84
48;4;22;30;competition;heterocapsa;07.01.21;4;157790,40;18011774,16;463,00;6,00;40,00;0,06;114,15
1;1;15;15;monoculture;heterosigma;09.01.21;6;46008,00;22398534,72;540,00;6,00;20,00;0,25;486,84
2;2;15;15;monoculture;heterosigma;09.01.21;6;35017,20;17047773,65;411,00;6,00;20,00;0,25;486,84
3;3;15;15;monoculture;heterosigma;09.01.21;6;40725,60;19826851,10;478,00;6,00;20,00;0,25;486,84
4;4;15;15;monoculture;heterosigma;09.01.21;6;39277,20;19121712,05;461,00;6,00;20,00;0,25;486,84
5;1;15;30;monoculture;heterosigma;09.01.21;6;46860,00;22813322,40;550,00;6,00;20,00;0,25;486,84
6;2;15;30;monoculture;heterosigma;09.01.21;6;39021,60;18997275,74;458,00;6,00;20,00;0,25;486,84
7;3;15;30;monoculture;heterosigma;09.01.21;6;32461,20;15803410,61;381,00;6,00;20,00;0,25;486,84
8;4;15;30;monoculture;heterosigma;09.01.21;6;34846,80;16964816,11;409,00;6,00;20,00;0,25;486,84
9;1;15;15;monoculture;heterocapsa;09.01.21;6;251056,00;28658042,40;442,00;6,00;40,00;0,06;114,15
10;2;15;15;monoculture;heterocapsa;09.01.21;6;239696,00;27361298,40;422,00;6,00;40,00;0,06;114,15
11;3;15;15;monoculture;heterocapsa;09.01.21;6;287976,00;32872460,40;507,00;6,00;40,00;0,06;114,15
12;4;15;15;monoculture;heterocapsa;09.01.21;6;228336,00;26064554,40;402,00;6,00;40,00;0,06;114,15
13;1;15;30;monoculture;heterocapsa;09.01.21;6;259008,00;29565763,20;456,00;6,00;40,00;0,06;114,15
14;2;15;30;monoculture;heterocapsa;09.01.21;6;294224,00;33585669,60;518,00;6,00;40,00;0,06;114,15
15;3;15;30;monoculture;heterocapsa;09.01.21;6;278888,00;31835065,20;491,00;6,00;40,00;0,06;114,15
16;4;15;30;monoculture;heterocapsa;09.01.21;6;292520,00;33391158,00;515,00;6,00;40,00;0,06;114,15
17;1;15;15;competition;heterosigma;09.01.21;6;30672,00;14932356,48;54,00;6,00;40,00;0,06;486,84
17;1;15;15;competition;heterocapsa;09.01.21;6;211296,00;24119438,40;372,00;6,00;40,00;0,06;114,15
18;2;15;15;competition;heterosigma;09.01.21;6;32944,00;16038456,96;58,00;6,00;40,00;0,06;486,84
18;2;15;15;competition;heterocapsa;09.01.21;6;205616,00;23471066,40;362,00;6,00;40,00;0,06;114,15
19;3;15;15;competition;heterosigma;09.01.21;6;26696,00;12996680,64;47,00;6,00;40,00;0,06;486,84
19;3;15;15;competition;heterocapsa;09.01.21;6;229472,00;26194228,80;404,00;6,00;40,00;0,06;114,15
20;4;15;15;competition;heterosigma;09.01.21;6;23288,00;11337529,92;41,00;6,00;40,00;0,06;486,84
20;4;15;15;competition;heterocapsa;09.01.21;6;205616,00;23471066,40;362,00;6,00;40,00;0,06;114,15
21;1;15;30;competition;heterosigma;09.01.21;6;32376,00;15761931,84;57,00;6,00;40,00;0,06;486,84
21;1;15;30;competition;heterocapsa;09.01.21;6;353296,00;40328738,40;622,00;6,00;40,00;0,06;114,15
22;2;15;30;competition;heterosigma;09.01.21;6;28400,00;13826256,00;50,00;6,00;40,00;0,06;486,84
22;2;15;30;competition;heterocapsa;09.01.21;6;316944,00;36179157,60;558,00;6,00;40,00;0,06;114,15
23;3;15;30;competition;heterosigma;09.01.21;6;23288,00;11337529,92;41,00;6,00;40,00;0,06;486,84
23;3;15;30;competition;heterocapsa;09.01.21;6;335120,00;38253948,00;590,00;6,00;40,00;0,06;114,15
24;4;15;30;competition;heterosigma;09.01.21;6;22720,00;11061004,80;40,00;6,00;40,00;0,06;486,84
24;4;15;30;competition;heterocapsa;09.01.21;6;306152,00;34947250,80;539,00;6,00;40,00;0,06;114,15
25;1;22;15;monoculture;heterosigma;09.01.21;6;69523,20;33846674,69;816,00;6,00;20,00;0,25;486,84
26;2;22;15;monoculture;heterosigma;09.01.21;6;66882,00;32560832,88;785,00;6,00;20,00;0,25;486,84
27;3;22;15;monoculture;heterosigma;09.01.21;6;71653,20;34883643,89;841,00;6,00;20,00;0,25;486,84
28;4;22;15;monoculture;heterosigma;09.01.21;6;72760,80;35422867,87;854,00;6,00;20,00;0,25;486,84
29;1;22;30;monoculture;heterosigma;09.01.21;6;57339,60;27915210,86;673,00;6,00;20,00;0,25;486,84
30;2;22;30;monoculture;heterosigma;09.01.21;6;65689,20;31980130,13;771,00;6,00;20,00;0,25;486,84
31;3;22;30;monoculture;heterosigma;09.01.21;6;68245,20;33224493,17;801,00;6,00;20,00;0,25;486,84
32;4;22;30;monoculture;heterosigma;09.01.21;6;74976,00;36501315,84;880,00;6,00;20,00;0,25;486,84
33;1;22;15;monoculture;heterocapsa;09.01.21;6;153360,00;17506044,00;270,00;6,00;40,00;0,06;114,15
34;2;22;15;monoculture;heterocapsa;09.01.21;6;148248,00;16922509,20;261,00;6,00;40,00;0,06;114,15
35;3;22;15;monoculture;heterocapsa;09.01.21;6;147680,00;16857672,00;260,00;6,00;40,00;0,06;114,15
36;4;22;15;monoculture;heterocapsa;09.01.21;6;140864,00;16079625,60;248,00;6,00;40,00;0,06;114,15
37;1;22;30;monoculture;heterocapsa;09.01.21;6;204480,00;23341392,00;360,00;6,00;40,00;0,06;114,15
38;2;22;30;monoculture;heterocapsa;09.01.21;6;195960,00;22368834,00;345,00;6,00;40,00;0,06;114,15
39;3;22;30;monoculture;heterocapsa;09.01.21;6;202208,00;23082043,20;356,00;6,00;40,00;0,06;114,15
40;4;22;30;monoculture;heterocapsa;09.01.21;6;213000,00;24313950,00;375,00;6,00;40,00;0,06;114,15
41;1;22;15;competition;heterosigma;09.01.21;6;73272,00;35671740,48;129,00;6,00;40,00;0,06;486,84
